ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
598,,16.0,2B,106,.259,6857,Brandon Phillips,,75.0,,79.0,Cin,8.0,,
588,,28.0,1B,108,.265,8868,Anthony Rizzo,,77.0,,93.0,ChC,5.0,,
478,,3.0,SS,109,.262,8430,Everth Cabrera,,63.0,,36.0,SD,41.0,,
661,,13.0,SS,110,.281,8611,Starlin Castro,,74.0,,65.0,ChC,14.0,,
483,,29.0,OF,111,.238,7455,Curtis Granderson,,86.0,,75.0,NYM,14.0,,
520,,21.0,"1B,OF",112,.296,6637,Michael Cuddyer,,66.0,,84.0,Col,10.0,,
523,,12.0,OF,116,.266,7104,Shane Victorino,,73.0,,53.0,Bos,24.0,,
497,,16.0,OF,117,.262,6983,Coco Crisp,,81.0,,57.0,Oak,31.0,,
521,,18.0,2B,118,.286,7483,Aaron Hill,,73.0,,68.0,Ari,10.0,,
491,,18.0,1B,121,.295,8795,Brandon Belt,,75.0,,76.0,SF,8.0,,
611,,14.0,OF,122,.277,8412,Austin Jackson,,109,,59.0,Det,13.0,,
476,,27.0,C,125,.277,8854,Wilin Rosario,,70.0,,80.0,Col,4.0,,
568,,18.0,OF,126,.262,8651,Desmond Jennings,,92.0,,62.0,TB,28.0,,
396,,23.0,1B,127,.290,9100,Matt Adams,,61.0,,73.0,StL,0.0,,
557,,28.0,OF,128,.246,6154,Alfonso Soriano,,73.0,,96.0,NYY,10.0,,
482,,26.0,C,129,.257,7569,Brian McCann,,54.0,,80.0,NYY,0.0,,
602,,13.0,"2B,3B,OF",130,.286,7737,Martin Prado,,73.0,,74.0,Ari,8.0,,
540,,17.0,SS,135,.257,7947,Asdrubal Cabrera,,71.0,,70.0,Cle,10.0,,
598,,24.0,3B,136,.268,8984,Kyle Seager,,79.0,,82.0,Sea,11.0,,
436,,19.0,3B,139,.296,6014,Aramis Ramirez,,66.0,,75.0,Mil,2.0,,
523,,30.0,1B,140,.287,9540,Jose Abreu,,72.0,,85.0,CWS,1.0,,
563,,27.0,"2B,3B",142,.254,9107,Jedd Gyorko,,81.0,,85.0,SD,2.0,,
568,,14.0,3B,146,.280,9105,Nolan Arenado,,66.0,,79.0,Col,2.0,,
510,,16.0,C,148,.296,9015,Salvador Perez,,56.0,,78.0,KC,0.0,,
519,,7.0,OF,150,.270,8289,Brett Gardner,,86.0,,46.0,NYY,36.0,,
467,,27.0,1B,151,.259,7754,Mike Napoli,,75.0,,84.0,Bos,1.0,,
486,,17.0,2B,152,.272,7072,Chase Utley,,74.0,,68.0,Phi,12.0,,
495,,10.0,OF,153,.273,8922,Leonys Martin,,77.0,,61.0,Tex,38.0,,
505,,28.0,OF,155,.263,7681,Nelson Cruz,,67.0,,87.0,Bal,6.0,,
568,,16.0,SS,159,.280,9201,Andrelton Simmons,,79.0,,69.0,Atl,11.0,,
525,,21.0,3B,163,.282,8057,Chase Headley,,75.0,,81.0,SD,12.0,,
610,,22.0,SS,164,.248,7283,J.J. Hardy,,67.0,,67.0,Bal,1.0,,
580,,6.0,OF,165,.272,7828,Michael Bourn,,85.0,,52.0,Cle,36.0,,
460,,8.0,OF,168,.276,6870,Carl Crawford,,67.0,,42.0,LAD,16.0,,
477,,20.0,"C,1B",169,.287,8609,Jonathan Lucroy,,58.0,,81.0,Mil,7.0,,
512,,12.0,2B,170,.291,7746,Howie Kendrick,,61.0,,60.0,LAA,10.0,,
478,,12.0,"2B,3B,SS",172,.262,9112,Jurickson Profar,,70.0,,56.0,Tex,13.0,,
521,,8.0,OF,174,.284,9094,Norichika Aoki,,71.0,,38.0,KC,19.0,,
565,,14.0,1B,175,.310,6853,Victor Martinez,,70.0,,89.0,Det,0.0,,
482,,22.0,1B,176,.239,6788,Mark Teixeira,,64.0,,76.0,NYY,1.0,,
605,,13.0,SS,177,.255,6419,Jimmy Rollins,,81.0,,53.0,Phi,26.0,,
520,,25.0,C,179,.252,8395,Matt Wieters,,64.0,,79.0,Bal,1.0,,
504,,0.0,OF,180,.294,8687,Ben Revere,,64.0,,30.0,Phi,38.0,,
463,,30.0,"1B,OF",185,.266,8082,Brandon Moss,,76.0,,89.0,Oak,4.0,,
484,,23.0,1B,186,.250,7437,Ryan Howard,,60.0,,89.0,Phi,0.0,,
585,,10.0,"1B,2B",187,.291,8314,Daniel Murphy,,75.0,,69.0,NYM,16.0,,
537,,8.0,OF,188,.283,8575,Michael Brantley,,64.0,,64.0,Cle,15.0,,
619,,9.0,SS,189,.275,8169,Alexei Ramirez,,67.0,,60.0,CWS,23.0,,
468,,12.0,"3B,SS",191,.265,9319,Xander Bogaerts,,58.0,,57.0,Bos,5.0,,
483,,12.0,OF,193,.275,8370,Dexter Fowler,,81.0,,51.0,Hou,17.0,,
498,,6.0,OF,194,.269,9302,Adam Eaton,,85.0,,37.0,CWS,19.0,,
578,,15.0,OF,195,.284,5884,Torii Hunter,,77.0,,78.0,Det,4.0,,
431,,20.0,C,196,.269,8620,Wilson Ramos,,49.0,,73.0,Was,0.0,,
541,,23.0,"1B,OF",197,.257,7435,Nick Swisher,,76.0,,77.0,Cle,2.0,,
535,,16.0,"2B,SS",201,.273,8200,Jed Lowrie,,70.0,,66.0,Oak,1.0,,
539,,15.0,SS,203,.278,7156,Jhonny Peralta,,64.0,,72.0,StL,2.0,,
582,,12.0,OF,204,.284,9320,Christian Yelich,,84.0,,56.0,Mia,22.0,,
528,,19.0,OF,205,.220,7333,B.J. Upton,,61.0,,58.0,Atl,25.0,,
415,,23.0,"C,OF",206,.253,9356,Evan Gattis,,51.0,,75.0,Atl,0.0,,
499,,16.0,OF,208,.279,9191,Kole Calhoun,,75.0,,77.0,LAA,9.0,,
568,,14.0,OF,209,.278,7996,Alejandro De Aza,,85.0,,58.0,CWS,24.0,,
512,,8.0,SS,210,.252,9468,Jonathan Villar,,66.0,,43.0,Hou,45.0,,
526,,26.0,OF,211,.247,8544,Josh Reddick,,75.0,,81.0,Oak,10.0,,
577,,12.0,"2B,SS",213,.274,9446,Brad Miller,,81.0,,61.0,Sea,12.0,,
606,,21.0,1B,215,.261,7063,Justin Morneau,,66.0,,90.0,Col,0.0,,
565,,24.0,1B,220,.276,7481,Kendrys Morales,,65.0,,81.0,Sea,0.0,,
555,,26.0,3B,223,.263,9109,Will Middlebrooks,,65.0,,89.0,Bos,5.0,,
514,,31.0,"1B,OF",227,.243,8640,Chris Carter,,78.0,,98.0,Hou,2.0,,
620,,15.0,OF,231,.281,7707,Nick Markakis,,84.0,,66.0,Bal,3.0,,
540,,7.0,SS,232,.278,7744,Erick Aybar,,68.0,,52.0,LAA,18.0,,
451,,14.0,C,233,.259,7865,Miguel Montero,,55.0,,65.0,Ari,0.0,,
596,,14.0,2B,234,.253,9174,Brian Dozier,,78.0,,67.0,Min,17.0,,
521,,21.0,3B,235,.255,8629,Todd Frazier,,66.0,,76.0,Cin,7.0,,
457,,23.0,1B,236,.260,7336,Corey Hart,,68.0,,64.0,Sea,1.0,,
441,,16.0,OF,237,.263,8340,Will Venable,,61.0,,49.0,SD,23.0,,
324,,20.0,OF,238,.284,9351,Khris Davis,,56.0,,58.0,Mil,6.0,,
555,,13.0,"1B,3B",239,.290,8585,Chris Johnson,,53.0,,73.0,Atl,2.0,,
519,,23.0,OF,240,.245,8190,Colby Rasmus,,69.0,,71.0,Tor,2.0,,
506,,8.0,OF,241,.281,7717,Angel Pagan,,78.0,,52.0,SF,23.0,,
356,,10.0,OF,242,.287,9297,Oscar Taveras,,47.0,,55.0,StL,5.0,,
496,,15.0,2B,243,.264,8571,Neil Walker,,64.0,,63.0,Pit,4.0,,
461,,21.0,1B,244,.273,7859,Adam Lind,,57.0,,69.0,Tor,0.0,,
408,,15.0,C,247,.279,8635,Jason Castro,,59.0,,50.0,Hou,1.0,,
511,,33.0,1B,248,.205,6763,Adam Dunn,,65.0,,82.0,CWS,0.0,,
495,,14.0,3B,250,.277,8402,David Freese,,62.0,,71.0,LAA,3.0,,
538,,14.0,"2B,3B",251,.277,9106,Anthony Rendon,,69.0,,60.0,Was,2.0,,
517,,18.0,3B,253,.265,8685,Mike Moustakas,,60.0,,63.0,KC,3.0,,
433,,3.0,OF,254,.259,8399,Eric Young,,63.0,,27.0,NYM,39.0,,
331,,14.0,C,256,.281,9186,Yan Gomes,,47.0,,50.0,Cle,2.0,,
573,,10.0,OF,257,.272,9108,Nick Castellanos,,67.0,,65.0,Det,2.0,,
363,,15.0,OF,258,.262,9339,George Springer,,73.0,,63.0,Hou,18.0,,
539,,25.0,1B,259,.254,7253,Adam LaRoche,,73.0,,81.0,Was,3.0,,
583,,7.0,OF,264,.271,6615,Ichiro Suzuki,,68.0,,44.0,NYY,26.0,,
597,,5.0,SS,265,.256,8344,Alcides Escobar,,63.0,,51.0,KC,27.0,,
511,,7.0,SS,267,.288,5406,Derek Jeter,,72.0,,46.0,NYY,9.0,,
489,,11.0,C,268,.276,6109,A.J. Pierzynski,,53.0,,65.0,Bos,0.0,,
509,,11.0,1B,269,.281,8660,Yonder Alonso,,50.0,,66.0,SD,6.0,,
415,,20.0,1B,270,.241,8666,Ike Davis,,55.0,,61.0,NYM,2.0,,
