ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
327,29,11,2B,71,.291,1125,Aaron Hill,48,45,,41,Ari,1,.462,.356
477,25,15,OF,72,.294,848,Shane Victorino,75,82,,61,Bos,21,.451,.351
606,76,23,1B,73,.233,3215,Anthony Rizzo,127,71,,80,ChC,6,.419,.323
582,79,15,DH,74,.289,1568,Billy Butler,102,62,,82,KC,0,.412,.374
401,30,11,3B,75,.254,3047,Brett Lawrie,68,41,,46,Tor,9,.397,.315
576,47,21,"OF, DH",76,.250,650,Josh Hamilton,158,73,,79,LAA,4,.432,.307
496,39,27,OF,77,.272,2783,Domonic Brown,97,65,,83,Phi,8,.494,.324
481,29,22,OF,78,.268,2036,Will Venable,118,64,,53,SD,22,.484,.312
381,41,4,SS,79,.283,2430,Everth Cabrera,69,54,,31,SD,37,.381,.355
667,29,14,3B,80,.283,3559,Manny Machado,113,88,,71,Bal,6,.432,.314
609,47,14,"3B, 2B, OF",81,.282,1357,Martin Prado,53,70,,82,Ari,3,.417,.333
296,23,17,1B,82,.284,3841,Matt Adams,80,46,,51,StL,0,.503,.335
356,39,20,C,83,.256,1212,Brian McCann,66,43,,57,NYY,0,.461,.336
498,73,23,1B,84,.259,1373,Mike Napoli,187,79,,92,Bos,1,.482,.360
601,38,25,SS,85,.263,973,J.J. Hardy,73,66,,76,Bal,2,.433,.306
658,32,13,2B,86,.286,2013,Daniel Murphy,95,92,,78,NYM,23,.415,.319
446,50,30,"1B, OF",87,.256,1765,Brandon Moss,140,73,,87,Oak,4,.522,.337
520,67,13,3B,88,.250,1735,Chase Headley,142,59,,50,SD,8,.400,.347
509,52,17,1B,89,.289,3354,Brandon Belt,125,76,,67,SF,5,.481,.360
637,26,6,SS,90,.284,1863,Alexei Ramirez,68,68,,48,CWS,30,.380,.313
496,21,13,C,91,.292,3590,Salvador Perez,63,48,,79,KC,0,.433,.323
525,47,14,3B,92,.278,2025,Pablo Sandoval,79,52,,79,SF,0,.417,.341
--,--,--,1B,93,--,5600,Jose Abreu,--,--,,--,CWS,--,--,--
605,54,14,DH,94,.301,725,Victor Martinez,62,68,,83,Det,0,.430,.355
523,43,22,C,95,.235,2122,Matt Wieters,104,59,,79,Bal,2,.417,.287
513,61,22,"OF, DH",96,.261,793,Coco Crisp,65,93,,66,Oak,21,.444,.335
581,36,34,OF,97,.255,424,Alfonso Soriano,156,84,,101,NYY,18,.489,.302
287,15,16,C,98,.272,2467,Wilson Ramos,42,29,,59,Wsh,0,.470,.307
286,26,6,"2B, DH",99,.234,3579,Jurickson Profar,63,30,,26,Tex,2,.336,.308
508,35,14,SS,100,.242,1613,Asdrubal Cabrera,114,66,,64,Cle,9,.402,.299
348,20,17,3B,101,.227,3704,Will Middlebrooks,98,41,,49,Bos,3,.425,.271
457,28,8,OF,102,.260,4066,Leonys Martin,104,66,,49,Tex,36,.385,.313
214,27,7,OF,103,.229,1103,Curtis Granderson,69,31,,15,NYM,8,.407,.317
413,35,27,OF,104,.266,1165,Nelson Cruz,109,49,,76,Bal,5,.506,.327
486,33,23,2B,105,.249,3887,Jedd Gyorko,123,62,,63,SD,1,.444,.301
44,5,1,3B,106,.250,4087,Xander Bogaerts,13,7,,5,Bos,1,.364,.320
606,40,17,SS,107,.248,4207,Andrelton Simmons,55,76,,59,Atl,6,.396,.296
603,50,15,"SS, 2B",108,.290,1894,Jed Lowrie,91,80,,75,Oak,1,.446,.344
19,2,0,OF,109,.368,3504,Billy Hamilton,4,9,,1,Cin,13,.474,.429
435,28,6,OF,110,.283,741,Carl Crawford,66,62,,31,LAD,15,.407,.329
602,49,23,"1B, DH",111,.277,1123,Kendrys Morales,114,64,,80,FA,0,.449,.336
606,26,17,OF,112,.304,331,Torii Hunter,113,90,,84,Det,3,.465,.334
435,50,18,C,113,.276,2472,Jason Castro,130,63,,56,Hou,2,.485,.350
465,51,23,"1B, DH",114,.288,1460,Adam Lind,103,67,,67,Tor,1,.497,.357
391,44,9,OF,115,.184,1011,B.J. Upton,151,30,,26,Atl,12,.289,.268
