ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
595,95,27,OF,1,.303,3280,Mike Trout,143,118,,87,LAA,39,.531,.402
595,85,44,3B,2,.328,897,Miguel Cabrera,99,103,,127,Det,3,.608,.413
587,78,30,OF,3,.315,1643,Andrew McCutchen,110,102,,93,Pit,24,.549,.400
603,92,34,1B,4,.299,3486,Paul Goldschmidt,152,102,,117,Ari,16,.544,.391
540,58,33,OF,5,.300,1600,Carlos Gonzalez,142,88,,88,Col,24,.565,.369
586,61,47,1B,6,.282,1981,Chris Davis,196,98,,127,Bal,3,.592,.355
604,50,18,OF,7,.288,1579,Jacoby Ellsbury,94,96,,63,NYY,45,.444,.346
566,83,37,"1B, DH",8,.297,969,Edwin Encarnacion,78,97,,110,Tor,10,.549,.389
620,60,23,2B,9,.315,1139,Robinson Cano,94,97,,104,Sea,7,.498,.379
630,43,35,3B,10,.314,386,Adrian Beltre,79,92,,102,Tex,1,.540,.361
635,28,32,OF,11,.287,1418,Adam Jones,127,95,,98,Bal,14,.501,.324
480,45,25,SS,12,.300,1130,Hanley Ramirez,92,83,,84,LAD,19,.531,.365
613,83,35,1B,13,.300,978,Prince Fielder,111,89,,113,Tex,1,.532,.390
578,61,30,OF,14,.273,1659,Ryan Braun,132,89,,98,Mil,18,.503,.347
532,66,31,SS,15,.305,1452,Troy Tulowitzki,91,86,,97,Col,5,.543,.383
542,35,23,OF,16,.260,1697,Carlos Gomez,145,87,,68,Mil,36,.470,.314
562,72,18,2B,17,.272,3466,Jason Kipnis,130,88,,83,Cle,27,.438,.354
554,74,22,3B,18,.303,1044,David Wright,107,88,,85,NYM,18,.502,.388
559,127,24,1B,19,.327,1612,Joey Votto,127,99,,77,Cin,7,.528,.452
545,69,28,OF,20,.288,3390,Bryce Harper,121,88,,80,Wsh,16,.521,.370
634,70,16,2B,21,.295,1271,Dustin Pedroia,73,98,,76,Bos,18,.443,.364
595,39,23,SS,22,.272,2215,Ian Desmond,138,79,,83,Wsh,24,.459,.319
594,74,36,3B,23,.274,1581,Evan Longoria,144,94,,106,TB,3,.527,.355
560,55,26,OF,24,.288,5068,Yasiel Puig,143,88,,76,LAD,17,.498,.363
609,33,18,OF,25,.273,954,Alex Rios,98,83,,77,Tex,30,.442,.312
572,50,12,SS,26,.297,850,Jose Reyes,57,85,,51,Tor,31,.439,.352
614,59,17,2B,27,.275,1132,Ian Kinsler,71,97,,74,Det,21,.433,.344
576,69,24,1B,28,.302,2487,Freddie Freeman,131,97,,105,Atl,3,.490,.381
508,79,39,OF,29,.270,2971,Giancarlo Stanton,167,81,,91,Mia,4,.567,.373
589,103,19,OF,30,.284,1140,Shin-Soo Choo,132,104,,64,Tex,21,.453,.408
541,63,19,"C, 1B",31,.312,2380,Buster Posey,82,75,,85,SF,2,.488,.386
571,74,27,OF,32,.271,1762,Justin Upton,149,78,,91,Atl,15,.473,.359
639,56,4,SS,33,.277,2416,Elvis Andrus,95,90,,65,Tex,38,.355,.338
615,55,21,1B,34,.289,3452,Eric Hosmer,106,82,,85,KC,15,.449,.346
598,64,31,OF,35,.259,1872,Jay Bruce,167,89,,105,Cin,8,.485,.331
513,74,29,DH,36,.298,343,David Ortiz,89,80,,93,Bos,2,.544,.385
507,87,33,OF,37,.266,961,Jose Bautista,97,91,,87,Tor,6,.509,.375
505,35,15,C,38,.321,1019,Yadier Molina,54,64,,77,StL,6,.485,.366
568,67,25,3B,39,.280,2197,Josh Donaldson,117,89,,94,Oak,8,.479,.359
564,54,27,"1B, DH",40,.280,613,Albert Pujols,74,83,,97,LAA,6,.482,.345
596,36,18,2B,41,.275,737,Brandon Phillips,89,88,,94,Cin,11,.418,.321
625,53,24,1B,42,.296,846,Adrian Gonzalez,109,80,,107,LAD,1,.472,.349
582,58,27,3B,43,.282,1267,Ryan Zimmerman,127,86,,88,Wsh,6,.478,.347
557,44,27,"OF, DH",44,.260,4553,Yoenis Cespedes,137,83,,93,Oak,12,.463,.320
553,80,13,"C, DH",45,.311,824,Joe Mauer,101,82,,73,Min,5,.452,.397
518,41,19,"1B, OF",46,.309,2745,Allen Craig,100,85,,96,StL,4,.485,.364
614,83,16,"2B, SS, OF",47,.282,1433,Ben Zobrist,101,91,,82,TB,14,.440,.369
581,29,11,OF,48,.263,3274,Starling Marte,154,82,,46,Pit,37,.411,.321
596,74,12,"2B, 3B",49,.299,3474,Matt Carpenter,100,108,,79,StL,5,.461,.379
623,51,22,OF,50,.274,1629,Hunter Pence,125,86,,91,SF,10,.446,.331
605,62,25,3B,51,.273,3256,Kyle Seager,118,77,,84,Sea,11,.458,.345
662,33,13,SS,52,.285,2808,Starlin Castro,116,87,,63,ChC,19,.418,.324
555,28,9,SS,53,.268,3499,Jean Segura,89,83,,45,Mil,34,.382,.310
449,44,19,OF,54,.283,1393,Matt Kemp,126,74,,72,LAD,17,.472,.349
542,96,25,"C, 1B, DH",55,.262,2659,Carlos Santana,111,79,,83,Cle,3,.470,.373
513,48,23,3B,56,.294,375,Aramis Ramirez,82,76,,90,Mil,4,.505,.365
515,68,20,OF,57,.295,997,Matt Holliday,97,91,,87,StL,4,.476,.384
604,67,25,OF,58,.267,3738,Wil Myers,171,81,,91,TB,9,.457,.340
562,69,22,OF,59,.269,2194,Jason Heyward,126,93,,71,Atl,13,.452,.356
633,35,5,2B,60,.283,4144,Jose Altuve,83,72,,44,Hou,32,.371,.320
545,50,26,OF,61,.281,413,Carlos Beltran,102,89,,81,NYY,3,.486,.341
523,41,33,"1B, OF",62,.252,2132,Mark Trumbo,144,73,,92,Ari,5,.501,.308
538,69,24,OF,63,.277,542,Jayson Werth,121,84,,77,Wsh,8,.468,.362
635,60,20,OF,64,.274,1578,Alex Gordon,149,89,,76,KC,12,.444,.341
507,42,16,C,65,.292,2816,Jonathan Lucroy,75,61,,82,Mil,6,.460,.348
558,65,14,OF,66,.254,2869,Desmond Jennings,125,95,,58,TB,27,.405,.335
498,51,16,2B,67,.281,828,Chase Utley,78,76,,71,Phi,12,.448,.355
560,54,35,3B,68,.250,2269,Pedro Alvarez,185,70,,98,Pit,2,.488,.317
515,22,25,C,69,.270,2491,Wilin Rosario,129,66,,74,Col,3,.468,.300
534,49,23,OF,70,.277,627,Michael Cuddyer,109,71,,79,Col,10,.485,.338
498,41,17,2B,71,.293,1125,Aaron Hill,72,70,,65,Ari,10,.476,.352
538,37,14,OF,72,.270,848,Shane Victorino,78,82,,58,Bos,24,.429,.332
594,70,26,1B,73,.266,3215,Anthony Rizzo,134,74,,90,ChC,7,.466,.349
586,71,21,DH,74,.295,1568,Billy Butler,107,75,,90,KC,2,.454,.373
529,42,18,3B,75,.280,3047,Brett Lawrie,98,74,,65,Tor,16,.456,.340
578,49,25,"OF, DH",76,.261,650,Josh Hamilton,157,79,,96,LAA,6,.458,.319
524,49,24,OF,77,.279,2783,Domonic Brown,104,71,,79,Phi,7,.479,.340
568,41,15,OF,78,.257,2036,Will Venable,132,84,,59,SD,25,.421,.311
559,59,2,SS,79,.243,2430,Everth Cabrera,115,77,,39,SD,47,.320,.318
615,36,17,3B,80,.286,3559,Manny Machado,113,84,,76,Bal,9,.452,.327
648,50,12,"3B, 2B, OF",81,.290,1357,Martin Prado,61,80,,82,Ari,7,.420,.339
548,39,29,1B,82,.270,3841,Matt Adams,152,74,,88,StL,1,.482,.319
485,54,29,C,83,.254,1212,Brian McCann,86,62,,83,NYY,0,.468,.332
501,76,28,1B,84,.259,1373,Mike Napoli,176,81,,92,Bos,2,.505,.363
