ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
598,37,27,SS,85,.274,973,J.J. Hardy,83,76,,78,Bal,1,.460,.317
603,32,9,2B,86,.289,2013,Daniel Murphy,84,78,,64,NYM,15,.410,.324
519,59,30,"1B, OF",87,.250,1765,Brandon Moss,165,77,,85,Oak,5,.486,.333
556,74,18,3B,88,.273,1735,Chase Headley,142,77,,79,SD,12,.446,.365
511,58,19,1B,89,.278,3354,Brandon Belt,132,80,,75,SF,9,.474,.355
648,28,9,SS,90,.275,1863,Alexei Ramirez,77,69,,62,CWS,24,.383,.307
509,22,15,C,91,.303,3590,Salvador Perez,65,58,,77,KC,1,.450,.333
552,48,21,3B,92,.290,2025,Pablo Sandoval,82,71,,90,SF,1,.467,.346
402,81,27,1B,93,.254,5600,Jose Abreu,96,69,,82,CWS,4,.495,.412
586,50,16,DH,94,.300,725,Victor Martinez,60,77,,94,Det,0,.440,.352
542,51,24,C,95,.260,2122,Matt Wieters,106,68,,80,Bal,1,.450,.320
541,57,11,"OF, DH",96,.251,793,Coco Crisp,72,87,,58,Oak,27,.372,.319
501,31,27,OF,97,.246,424,Alfonso Soriano,137,62,,86,NYY,10,.463,.294
486,35,23,C,98,.274,2467,Wilson Ramos,78,54,,81,Wsh,0,.453,.323
512,60,13,"2B, DH",99,.270,3579,Jurickson Profar,114,79,,56,Tex,16,.416,.351
567,44,17,SS,100,.266,1613,Asdrubal Cabrera,116,77,,77,Cle,11,.429,.326
519,32,26,3B,101,.254,3704,Will Middlebrooks,143,62,,87,Bos,6,.451,.299
466,32,8,OF,102,.264,4066,Leonys Martin,100,69,,52,Tex,30,.403,.319
549,70,24,OF,103,.233,1103,Curtis Granderson,179,87,,73,NYM,14,.426,.323
479,38,26,OF,104,.261,1165,Nelson Cruz,124,61,,78,Bal,7,.480,.318
543,42,24,2B,105,.267,3887,Jedd Gyorko,134,69,,75,SD,2,.451,.323
495,60,15,3B,106,.279,4087,Xander Bogaerts,140,74,,66,Bos,8,.451,.361
594,44,17,SS,107,.273,4207,Andrelton Simmons,59,82,,65,Atl,9,.421,.325
567,52,18,"SS, 2B",108,.280,1894,Jed Lowrie,91,81,,75,Oak,3,.448,.341
342,30,3,OF,109,.237,3504,Billy Hamilton,92,47,,22,Cin,56,.310,.298
524,31,9,OF,110,.277,741,Carl Crawford,87,77,,47,LAD,23,.408,.320
568,46,24,"1B, DH",111,.280,1123,Kendrys Morales,113,67,,82,FA,0,.461,.338
589,33,16,OF,112,.278,331,Torii Hunter,121,88,,79,Det,5,.424,.321
513,60,19,C,113,.275,2472,Jason Castro,145,70,,64,Hou,2,.476,.350
529,52,24,"1B, DH",114,.282,1460,Adam Lind,115,64,,78,Tor,1,.474,.344
477,50,18,OF,115,.231,1011,B.J. Upton,164,65,,57,Atl,26,.403,.304
565,70,14,OF,116,.280,3756,Christian Yelich,158,81,,58,Mia,18,.441,.359
583,50,6,OF,117,.257,1432,Michael Bourn,143,81,,50,Cle,30,.353,.318
599,51,17,2B,118,.250,3468,Brian Dozier,127,72,,65,Min,16,.404,.313
514,52,7,OF,119,.259,1985,Brett Gardner,117,77,,44,NYY,30,.391,.334
454,54,25,OF,120,.262,3964,Khris Davis,139,66,,69,Mil,6,.489,.353
485,55,22,OF,121,.254,2489,Josh Reddick,111,73,,69,Oak,10,.452,.328
554,56,13,OF,122,.276,2177,Austin Jackson,137,94,,52,Det,12,.430,.344
568,48,7,OF,123,.280,4527,Norichika Aoki,44,75,,39,KC,24,.371,.347
592,58,11,SS,124,.258,539,Jimmy Rollins,89,79,,48,Phi,22,.378,.324
492,49,8,SS,125,.234,4448,Jonathan Villar,157,57,,39,Hou,38,.343,.306
544,57,8,OF,126,.267,4557,Adam Eaton,108,89,,41,CWS,23,.382,.350
479,41,12,OF,127,.273,1663,Alejandro De Aza,114,68,,46,CWS,20,.418,.336
550,28,12,2B,128,.285,1365,Howie Kendrick,109,67,,66,LAA,10,.415,.327
564,24,8,SS,129,.277,1363,Erick Aybar,63,72,,56,LAA,18,.401,.309
502,42,21,"1B, OF",130,.269,1013,Corey Hart,129,73,,63,Sea,5,.462,.334
572,81,23,"1B, OF",131,.255,995,Nick Swisher,145,79,,80,Cle,2,.434,.349
555,32,16,3B,132,.288,3734,Nolan Arenado,83,66,,75,Col,3,.456,.327
522,67,30,1B,133,.247,703,Mark Teixeira,111,75,,81,NYY,3,.471,.337
508,46,24,OF,134,.260,1885,Colby Rasmus,148,72,,73,Tor,2,.467,.325
520,65,15,C,135,.275,1466,Miguel Montero,133,63,,76,Ari,0,.415,.361
515,28,0,OF,136,.280,2789,Ben Revere,55,58,,25,Phi,35,.320,.318
542,67,15,2B,137,.277,4573,Anthony Rendon,119,70,,66,Wsh,3,.450,.363
535,43,8,OF,138,.280,2318,Michael Brantley,63,67,,68,Cle,14,.387,.334
497,66,25,1B,139,.258,2469,Justin Smoak,128,62,,71,Sea,2,.455,.347
405,26,22,"C, OF",140,.259,5444,Evan Gattis,91,47,,70,Atl,0,.491,.311
106,7,3,OF,141,.283,3679,Oscar Taveras,18,12,,15,StL,2,.443,.330
487,44,20,3B,142,.251,2289,Todd Frazier,117,62,,71,Cin,8,.439,.324
530,86,13,OF,143,.257,2068,Dexter Fowler,156,75,,46,Hou,19,.404,.364
493,15,15,C,144,.270,404,A.J. Pierzynski,73,53,,68,Bos,0,.422,.299
533,37,21,OF,145,.255,1730,Nate Schierholtz,107,61,,70,ChC,8,.452,.308
457,38,11,OF,146,.239,3656,Nick Castellanos,107,50,,44,Det,4,.365,.299
469,45,26,1B,147,.260,1083,Ryan Howard,160,60,,71,Phi,0,.495,.326
492,60,15,SS,148,.252,1204,Stephen Drew,133,65,,69,FA,5,.425,.332
580,34,14,3B,149,.281,2212,Chris Johnson,142,58,,74,Atl,2,.424,.324
536,45,14,SS,150,.274,895,Jhonny Peralta,122,59,,66,StL,2,.420,.331
290,42,18,OF,151,.238,4551,George Springer,118,46,,49,Hou,12,.486,.343
452,52,22,2B,152,.254,5601,Alexander Guerrero,82,53,,61,LAD,6,.431,.352
450,42,2,OF,153,.251,2237,Eric Young Jr.,87,61,,27,NYM,38,.338,.319
423,48,20,"OF, 2B",154,.243,1202,Kelly Johnson,123,54,,57,NYY,11,.430,.324
504,71,28,"1B, OF, DH",155,.228,2186,Chris Carter,201,69,,85,Hou,2,.454,.325
439,38,16,C,156,.262,2263,Devin Mesoraco,86,51,,64,Cin,2,.424,.320
497,51,15,2B,157,.274,2202,Neil Walker,93,66,,65,Pit,4,.433,.350
498,40,5,OF,158,.265,1339,Angel Pagan,71,82,,55,SF,20,.386,.319
509,65,23,1B,159,.251,953,Adam LaRoche,127,67,,72,Wsh,3,.438,.336
460,23,14,OF,160,.287,3146,Avisail Garcia,116,56,,53,CWS,9,.430,.327
466,47,14,3B,161,.279,2224,David Freese,111,59,,68,LAA,2,.429,.353
596,30,15,SS,162,.258,2830,Zack Cozart,109,81,,57,Cin,3,.398,.294
545,30,20,OF,163,.262,739,Marlon Byrd,140,72,,77,Phi,2,.453,.307
443,31,15,C,164,.264,4583,Yan Gomes,120,52,,60,Cle,3,.440,.320
410,44,13,OF,165,.276,3898,Kole Calhoun,90,56,,57,LAA,10,.449,.346
589,26,7,2B,166,.295,806,Omar Infante,64,66,,52,KC,8,.396,.324
502,46,20,1B,167,.273,825,Justin Morneau,91,59,,75,Col,0,.454,.338
564,36,9,OF,168,.284,1238,Melky Cabrera,78,80,,60,Tor,9,.399,.323
503,35,19,3B,169,.252,2820,Mike Moustakas,101,51,,65,KC,5,.425,.305
502,19,4,SS,170,.253,2042,Alcides Escobar,76,51,,42,KC,23,.331,.285
464,64,19,"OF, DH",171,.263,1933,Matt Joyce,103,70,,62,TB,6,.446,.353
502,53,12,1B,172,.285,2298,Yonder Alonso,79,55,,68,SD,7,.414,.352
467,58,16,C,173,.238,1268,Russell Martin,106,56,,61,Pit,7,.388,.331
612,56,12,OF,174,.283,1330,Nick Markakis,73,82,,64,Bal,3,.391,.343
446,56,15,OF,175,.244,2689,Michael Saunders,130,69,,53,Sea,17,.413,.328
554,43,11,1B,176,.296,1346,James Loney,73,57,,72,TB,2,.415,.344
430,56,13,2B,177,.244,3064,Nick Franklin,125,51,,53,Sea,10,.395,.331
548,44,20,3B,178,.254,2171,Trevor Plouffe,128,63,,62,Min,2,.414,.315
295,18,4,OF,179,.247,1438,Rajai Davis,59,41,,24,Det,34,.353,.298
392,42,12,SS,180,.268,4683,Brad Miller,86,54,,49,Sea,7,.418,.338
452,53,16,1B,181,.257,2924,Logan Morrison,91,52,,60,Sea,1,.418,.339
425,44,17,C,182,.247,1605,Jarrod Saltalamacchia,144,61,,60,Mia,2,.442,.318
525,41,4,2B,183,.288,787,Marco Scutaro,42,67,,49,SF,5,.366,.339
396,40,19,OF,184,.247,1837,Justin Ruggiano,111,48,,51,ChC,16,.449,.320
519,45,23,1B,185,.258,2812,Mitch Moreland,120,63,,66,Tex,1,.453,.317
523,31,18,3B,186,.258,2270,Matt Dominguez,89,58,,77,Hou,0,.413,.304
467,38,8,SS,187,.270,197,Derek Jeter,70,64,,40,NYY,7,.366,.329
446,73,29,"1B, DH",188,.224,687,Adam Dunn,176,59,,75,CWS,1,.453,.334
442,32,10,C,189,.287,1376,Carlos Ruiz,56,51,,57,Phi,2,.416,.351
92,11,1,OF,190,.239,5447,Gregory Polanco,17,10,,10,Pit,4,.315,.314
459,29,21,OF,191,.257,1206,Michael Morse,122,56,,59,SF,0,.440,.308
413,26,9,2B,192,.264,4620,Josh Rutledge,88,51,,32,Col,13,.400,.318
547,64,15,OF,193,.272,1333,Andre Ethier,112,73,,74,LAD,3,.428,.355
393,29,6,OF,194,.265,3107,A.J. Pollock,70,52,,36,Ari,13,.392,.319
480,38,13,3B,195,.250,653,Juan Uribe,103,55,,61,LAD,5,.394,.308
513,52,9,SS,196,.265,1604,Yunel Escobar,70,63,,53,TB,4,.370,.335
379,34,15,C,197,.282,967,Dioner Navarro,58,44,,51,Tor,0,.446,.343
441,71,20,1B,198,.234,2920,Ike Davis,131,64,,71,NYM,2,.422,.339
463,35,9,2B,199,.257,2385,Gordon Beckham,79,57,,41,CWS,5,.376,.316
535,35,12,OF,200,.250,3132,Junior Lake,164,59,,40,ChC,23,.383,.305
554,39,4,OF,201,.271,1907,Denard Span,67,68,,41,Wsh,17,.377,.319
414,51,12,C,202,.239,2984,Travis d'Arnaud,120,46,,45,NYM,1,.389,.325
394,46,7,"2B, OF",203,.264,2697,Dustin Ackley,78,55,,37,Sea,5,.373,.342
477,70,15,C,204,.252,2383,Alex Avila,149,55,,67,Det,1,.407,.347
288,40,17,"1B, 3B, DH",205,.229,1704,Mark Reynolds,102,41,,47,Mil,2,.448,.327
551,45,10,OF,206,.270,2420,Gerardo Parra,95,72,,47,Ari,13,.407,.327
500,46,6,SS,207,.250,530,Rafael Furcal,63,61,,49,Mia,13,.336,.314
496,47,21,OF,208,.250,3735,Oswaldo Arcia,152,58,,71,Min,3,.438,.325
394,34,13,3B,209,.256,5131,Cody Asche,115,43,,53,Phi,6,.424,.318
483,74,24,"OF, DH",210,.234,1038,Josh Willingham,151,64,,80,Min,2,.435,.351
431,38,17,"1B, OF",211,.255,1698,Garrett Jones,111,54,,65,Mia,3,.455,.314
328,35,16,C,212,.244,1295,Geovany Soto,97,44,,45,Tex,1,.445,.320
297,17,4,2B,213,.276,3644,Scooter Gennett,63,33,,21,Mil,6,.377,.319
486,43,7,OF,214,.278,2222,Jon Jay,88,70,,53,StL,12,.379,.350
311,55,7,C,215,.273,2071,John Jaso,60,46,,43,Oak,4,.412,.386
474,33,9,OF,216,.236,2128,Peter Bourjos,130,70,,40,StL,14,.361,.302
305,24,5,OF,217,.243,2536,Lorenzo Cain,75,37,,34,KC,10,.354,.303
505,41,10,SS,218,.251,2838,Brandon Crawford,100,58,,52,SF,2,.372,.311
387,47,14,OF,219,.222,1358,Chris Young,106,53,,47,NYM,13,.395,.308
428,59,11,C,220,.257,2074,A.J. Ellis,90,48,,57,LAD,0,.383,.351
300,33,17,OF,221,.283,1127,Carlos Quentin,53,48,,54,SD,0,.533,.374
366,27,7,"SS, 2B",222,.262,3093,Jordy Mercer,72,38,,36,Pit,5,.393,.320
369,60,17,2B,223,.206,1318,Dan Uggla,130,53,,48,Atl,2,.382,.326
291,27,9,"C, OF, DH",224,.261,1208,Ryan Doumit,62,31,,37,Atl,0,.419,.325
390,56,20,OF,225,.241,947,Jonny Gomes,123,61,,66,Bos,3,.446,.346
432,36,7,2B,226,.266,4535,Kolten Wong,83,56,,37,StL,19,.375,.326
379,30,21,"1B, 3B",227,.240,2207,Juan Francisco,142,42,,57,Mil,1,.456,.300
336,28,13,OF,228,.250,742,Ryan Ludwick,82,36,,53,Cin,0,.417,.312
477,27,5,"SS, 3B",229,.245,2711,Jose Iglesias,81,49,,35,Det,11,.317,.298
385,40,14,"1B, DH",230,.270,342,Paul Konerko,64,44,,52,CWS,0,.416,.343
359,26,14,2B,231,.237,3145,Ryan Flaherty,93,40,,44,Bal,3,.401,.297
223,27,7,C,232,.269,4325,Josmil Pinto,56,25,,27,Min,0,.422,.352
348,20,2,2B,233,.276,3188,DJ LeMahieu,56,35,,28,Col,12,.368,.315
477,30,17,OF,234,.260,2372,Dayan Viciedo,111,51,,63,CWS,0,.428,.308
567,35,4,SS,235,.243,3511,Adeiny Hechavarria,120,47,,48,Mia,11,.321,.287
403,29,12,OF,236,.253,4149,Marcell Ozuna,113,53,,56,Mia,8,.417,.307
317,20,3,SS,237,.252,2727,Eduardo Nunez,53,37,,28,NYY,19,.350,.297
501,44,16,OF,238,.255,1463,David Murphy,75,61,,57,Cle,7,.413,.317
197,36,6,1B,239,.228,3678,Jon Singleton,79,27,,25,Hou,1,.381,.345
443,44,11,C,240,.255,2198,Welington Castillo,124,48,,41,ChC,1,.384,.337
322,21,12,3B,241,.264,2911,Lonnie Chisenhall,70,41,,45,Cle,2,.444,.317
276,27,6,OF,242,.250,1152,Nate McLouth,46,38,,21,Wsh,13,.384,.322
307,23,10,OF,243,.287,4165,Corey Dickerson,63,43,,33,Col,5,.502,.333
346,54,13,"OF, 1B",244,.249,3392,Lucas Duda,102,45,,44,NYM,1,.408,.357
355,33,10,1B,245,.237,2060,Casey McGehee,76,38,,48,Mia,1,.375,.302
340,32,8,2B,246,.241,679,Brian Roberts,60,39,,45,NYY,5,.362,.302
383,47,9,OF,247,.232,4847,Jackie Bradley Jr.,112,54,,34,Bos,8,.394,.331
175,15,1,"2B, OF",248,.251,1798,Emilio Bonifacio,41,21,,11,ChC,14,.331,.313
386,48,15,3B,249,.249,3610,Matt Davidson,149,45,,52,CWS,1,.430,.339
260,35,9,C,250,.238,3000,Derek Norris,78,39,,35,Oak,6,.400,.333
274,11,6,"3B, SS",251,.252,1955,Mike Aviles,37,34,,33,Cle,8,.361,.281
333,39,11,2B,252,.234,926,Rickie Weeks,96,46,,31,Mil,8,.399,.328
359,36,9,OF,253,.231,2210,Drew Stubbs,108,53,,34,Col,19,.362,.303
224,22,0,SS,254,.232,3143,Dee Gordon,49,26,,12,LAD,23,.290,.305
211,19,8,3B,255,.265,408,Eric Chavez,44,25,,35,Ari,0,.441,.323
322,15,12,OF,256,.245,2895,Chris Heisey,78,42,,36,Cin,5,.413,.289
156,7,3,SS,257,.263,3310,Chris Owings,38,20,,16,Ari,4,.397,.299
243,23,9,"OF, 1B",258,.272,2218,Mike Carp,68,32,,42,Bos,2,.461,.338
478,38,23,"OF, DH",259,.234,260,Raul Ibanez,120,57,,69,LAA,1,.433,.292
437,30,1,SS,260,.259,2568,Ruben Tejada,66,48,,30,NYM,4,.323,.313
280,23,4,OF,261,.261,2181,Jose Tabata,45,35,,21,Pit,6,.382,.328
44,5,1,SS,262,.227,5151,Addison Russell,14,7,,4,Oak,2,.386,.320
375,33,14,C,263,.235,5152,Mike Zunino,110,55,,52,Sea,1,.403,.307
269,21,3,"2B, 3B, SS",264,.253,1077,Maicer Izturis,32,29,,23,Tor,6,.331,.310
446,39,15,OF,265,.260,845,Cody Ross,93,56,,63,Ari,3,.426,.321
493,34,6,2B,266,.243,2200,Darwin Barney,61,57,,39,ChC,6,.337,.297
295,39,8,1B,267,.254,2087,Gaby Sanchez,54,34,,38,Pit,2,.400,.344
201,12,4,OF,268,.229,3666,Jake Marisnick,63,20,,18,Mia,8,.348,.290
433,38,8,SS,269,.242,3859,Didi Gregorius,80,53,,35,Ari,2,.365,.310
299,38,6,"3B, 2B",270,.268,1435,Alberto Callaspo,32,37,,38,Oak,2,.371,.347
248,39,6,C,271,.262,3389,Yasmani Grandal,57,33,,32,SD,0,.407,.364
363,44,9,OF,272,.273,3362,Daniel Nava,75,54,,47,Bos,2,.413,.364
235,20,2,2B,273,.268,2642,Eric Sogard,33,29,,22,Oak,7,.362,.328
318,35,10,"OF, DH",274,.258,1835,Seth Smith,80,44,,38,SD,2,.425,.336
337,29,8,OF,275,.276,1298,Chris Denorfia,56,50,,33,SD,9,.409,.332
331,17,10,C,276,.248,2992,Josh Phegley,69,33,,39,CWS,2,.396,.291
191,23,8,"1B, OF",277,.251,3958,Darin Ruf,65,24,,24,Phi,0,.429,.339
213,17,4,OF,278,.272,3546,Charlie Blackmon,40,30,,22,Col,6,.418,.333
234,30,2,2B,279,.235,2311,Jemile Weeks,52,32,,15,Bal,8,.325,.328
286,25,9,"OF, 1B",280,.227,2418,Kyle Blanks,86,35,,36,SD,1,.385,.301
177,20,5,2B,281,.266,2967,Logan Forsythe,43,24,,18,TB,5,.412,.348
142,10,3,C,282,.268,2955,Hector Sanchez,32,13,,16,SF,0,.380,.323
316,59,11,C,283,.228,1447,Chris Iannetta,94,39,,38,LAA,1,.373,.350
104,18,3,3B,284,.260,4622,Marcus Semien,27,17,,11,CWS,4,.423,.371
191,18,1,OF,285,.230,2822,Jarrod Dyson,42,28,,10,KC,22,.314,.302
376,24,5,2B,286,.245,3033,Ryan Goins,92,33,,33,Tor,4,.340,.290
212,15,6,C,287,.236,2127,Hank Conger,52,21,,22,LAA,0,.373,.294
345,29,6,SS,288,.246,2730,Pedro Florimon,103,36,,33,Min,11,.345,.307
53,2,2,3B,289,.283,4639,Maikel Franco,8,6,,7,Phi,0,.434,.309
266,23,6,OF,290,.267,3465,Andy Dirks,49,38,,25,Det,5,.391,.326
176,9,3,"2B, 1B, 3B",291,.278,1071,Jeff Keppinger,16,19,,17,CWS,0,.364,.314
273,39,8,3B,292,.238,2061,Luis Valbuena,61,30,,30,ChC,1,.385,.335
235,16,6,OF,293,.226,956,Grady Sizemore,70,28,,28,Bos,0,.404,.287
144,18,2,2B,294,.285,4695,Tommy La Stella,24,16,,15,Atl,3,.403,.368
268,13,12,C,295,.228,2501,J.P. Arencibia,80,29,,38,Tex,0,.399,.268
281,28,10,"1B, OF",296,.253,2376,Jesus Guzman,70,35,,44,Hou,4,.434,.324
301,43,4,OF,297,.239,3869,Robbie Grossman,97,36,,21,Hou,9,.332,.339
106,13,2,OF,298,.255,4432,Michael Choice,32,14,,14,Tex,0,.358,.344
165,18,5,OF,299,.236,1088,Jason Kubel,51,17,,23,Min,0,.388,.310
257,24,11,OF,300,.241,1745,Ryan Raburn,73,34,,40,Cle,1,.436,.312
142,9,3,2B,301,.204,3018,Danny Espinosa,49,15,,12,Wsh,3,.317,.265
331,29,8,OF,302,.254,1459,Ryan Sweeney,64,35,,32,ChC,1,.405,.313
257,18,4,"3B, 1B, 2B",303,.237,3255,Ed Lucas,66,28,,20,Mia,2,.335,.291
286,19,6,C,304,.252,1728,Kurt Suzuki,42,29,,32,Min,2,.371,.301
186,9,3,OF,305,.263,2916,David Lough,31,22,,18,Bal,5,.376,.302
372,31,6,OF,306,.261,3399,Alex Presley,76,46,,29,Min,12,.384,.322
291,37,2,"DH, OF",307,.244,4565,L.J. Hoes,58,37,,24,Hou,8,.326,.334
409,35,16,1B,308,.244,2468,Brett Wallace,150,50,,51,Hou,1,.421,.317
247,29,2,OF,309,.255,1603,Gregor Blanco,57,34,,23,SF,12,.332,.335
398,41,8,OF,310,.256,942,David DeJesus,77,54,,39,TB,5,.399,.335
